Temp,Vol,Etot,dV/dT,alpha,alpha_smooth
295,55803.17988,-14059.91595,-42.56331455,-0.00076274,-0.000496897
300,55832.59189,-14054.50838,-4.153982408,-7.44E-05,-0.000348075
305,55761.64005,-14062.83275,-7.727114082,-0.000138574,-0.000224927
310,55755.32074,-14065.66694,-3.298073522,-5.92E-05,-0.000127452
315,55728.65932,-14068.27306,-5.674551772,-0.000101825,-5.57E-05
320,55698.57523,-14070.68967,-4.405647306,-7.91E-05,-9.52E-06
325,55684.60285,-14072.55005,-0.28885115,-5.19E-06,-6.52E-05
330,55695.68672,-14071.40313,-3.398690225,-6.10E-05,-5.65E-05
335,55650.61594,-14073.4995,-4.533703327,-8.15E-05,-4.14E-05
340,55650.34968,-14075.60584,-2.958760661,-5.32E-05,-6.05E-05
345,55621.02834,-14079.69943,-5.572042899,-0.000100179,-9.54E-05
350,55594.62925,-14081.83425,-2.032051106,-3.66E-05,-9.19E-05
355,55600.70783,-14079.95181,-3.618155116,-6.51E-05,-9.43E-05
360,55558.4477,-14088.56762,-16.68125271,-0.000300247,-0.000139483
365,55433.8953,-14110.59791,-5.588714123,-0.000100818,-0.00017583
370,55502.56056,-14097.2727,0.543197863,9.79E-06,-0.000156108
375,55439.32728,-14110.42433,-15.97290331,-0.000288115,-0.000137385
380,55342.83153,-14126.12502,-16.17723956,-0.00029231,-0.000130955
385,55277.55488,-14137.89742,0.112526761,2.04E-06,-8.08E-05
390,55343.9568,-14125.69486,6.53422203,0.000118066,-7.09E-05
395,55342.8971,-14124.48807,-6.37810781,-0.000115247,-5.94E-05
400,55280.17572,-14136.75067,-8.560566173,-0.000154858,-1.17E-05
405,55257.29144,-14144.29006,5.671556131,0.000102639,-3.45E-05
410,55336.89128,-14119.97451,-4.873176303,-8.81E-05,-7.58E-05
415,55208.55968,-14148.87043,-7.140511192,-0.000129337,-8.17E-05
420,55265.48617,-14132.18703,-2.252159792,-4.08E-05,-7.07E-05
425,55186.03808,-14151.8646,-9.133842132,-0.00016551,-9.45E-05
430,55174.14774,-14146.81624,-1.367110052,-2.48E-05,-0.000120586
435,55172.36698,-14145.88982,-4.044720725,-7.33E-05,-8.56E-05
440,55133.70054,-14149.11405,-8.41111881,-0.000152559,-5.60E-05
445,55088.25579,-14164.93142,-4.89376085,-8.88E-05,-4.75E-05
450,55084.76293,-14162.34899,2.218036626,4.03E-05,-2.40E-05
455,55110.43616,-14160.78365,3.677279601,6.67E-05,-1.75E-05
460,55121.53573,-14159.47823,0.539652714,9.79E-06,1.31E-05
465,55115.83268,-14151.07709,-3.198748685,-5.80E-05,5.00E-05
470,55089.54824,-14156.06783,2.109240986,3.83E-05,4.59E-05
475,55136.92509,-14144.59053,3.779912729,6.86E-05,3.15E-05
480,55127.34737,-14152.44295,5.123131427,9.29E-05,3.51E-05
485,55188.15641,-14139.64859,4.027181681,7.30E-05,4.41E-05
490,55167.61918,-14139.85545,-3.082695558,-5.59E-05,4.32E-05
495,55157.32945,-14142.2962,1.392893342,2.53E-05,2.01E-05
500,55181.54812,-14131.95147,3.068366017,5.56E-05,1.68E-05
505,55188.01311,-14134.27377,0.977452442,1.77E-05,2.65E-05
510,55191.32264,-14127.23682,0.858593251,1.56E-05,4.16E-05
515,55196.59905,-14129.05505,2.082905103,3.77E-05,5.94E-05
520,55212.15169,-14122.07634,6.48492893,0.000117455,5.95E-05
525,55261.44833,-14114.05312,4.380424981,7.93E-05,6.81E-05
530,55255.95594,-14116.29924,1.921356728,3.48E-05,6.73E-05
535,55280.6619,-14105.68762,2.953768888,5.34E-05,5.38E-05
540,55285.49363,-14104.8342,3.712220758,6.71E-05,4.10E-05
545,55317.78411,-14098.5075,2.409722285,4.36E-05,3.26E-05
550,55309.59085,-14096.99572,-1.359132582,-2.46E-05,4.01E-05
555,55304.19278,-14092.38095,1.487642493,2.69E-05,3.67E-05
560,55324.46728,-14089.0278,4.338164372,7.84E-05,2.52E-05
565,55347.57443,-14081.75877,3.555133821,6.42E-05,3.43E-05
570,55360.01862,-14079.09037,1.6382995,2.96E-05,4.87E-05
575,55363.95742,-14077.17051,-0.780312328,-1.41E-05,5.89E-05
580,55352.21549,-14073.3523,3.041777535,5.50E-05,5.17E-05
585,55394.3752,-14067.16423,7.16526851,0.00012935,3.83E-05
590,55423.86818,-14062.88727,2.20214722,3.97E-05,3.90E-05
595,55416.39667,-14059.1937,0.922739191,1.67E-05,4.54E-05
600,55433.09557,-14053.10058,0.662551252,1.20E-05,5.21E-05
605,55423.02218,-14053.86732,0.925892677,1.67E-05,4.14E-05
610,55442.3545,-14050.77171,4.526252403,8.16E-05,3.20E-05
615,55468.28471,-14039.33628,3.823000356,6.89E-05,3.84E-05
620,55480.5845,-14042.47501,2.875257243,5.18E-05,4.43E-05
